Results: 20191114_JHL_1qtf
Query: s001A
Select neighbours (check boxes) for viewing as multiple structural alignment or 3D superimposition. The list of neighbours is sorted by Z-score. Similarities with a Z-score lower than 2 are spurious. Each neighbour has links to pairwise structural alignment with the query structure, and to the PDB format coordinate file where the neighbour is superimposed onto the query structure.

  Expand gaps    
Summary
    No:  Chain   Z    rmsd lali nres  %id PDB  Description
 130:  2j92-A 14.9  2.7  159   201   14 PDB  MOLECULE: PICORNAIN 3C;                                              
 131:  1kdq-A 14.5  1.5  125   130   33 PDB  MOLECULE: CHYMOTRYPSIN B, B CHAIN;                                   
 132:  1qa7-B 14.4  2.7  164   218   11 PDB  MOLECULE: HAV 3C PROTEINASE;                                         
 133:  1ky9-B 14.0  2.8  164   396   18 PDB  MOLECULE: PROTEASE DO;                                               
 134:  1ezx-C 13.8  1.7  125   140   33 PDB  MOLECULE: ALPHA-1-ANTITRYPSIN;                                       
 135:  2qaa-A 13.7  2.9  153   186   16 PDB  MOLECULE: STREPTOGRISIN-B;                                           
 136:  2sfa-A 13.7  2.9  151   191   17 PDB  MOLECULE: SERINE PROTEINASE;                                         
 137:  1sgc-A 13.6  2.9  150   181   17 PDB  MOLECULE: PROTEINASE A;                                              
 138:  2ea3-A 13.4  2.8  151   183   15 PDB  MOLECULE: CHYMOTRYPSIN;                                              
 139:  5mrr-A 13.4  2.7  152   199   15 PDB  MOLECULE: LYTIC ENDOPEPTIDASE PREPROENZYME;                          
 140:  1hpg-A 13.2  2.9  152   187   18 PDB  MOLECULE: GLUTAMIC ACID SPECIFIC PROTEASE;                           
 141:  1p01-A 13.1  3.0  155   199   12 PDB  MOLECULE: ALPHA-LYTIC PROTEASE;                                      
 142:  1lvm-A 13.1  3.1  161   229   15 PDB  MOLECULE: CATALYTIC DOMAIN OF THE NUCLEAR INCLUSION                  
 143:  2oua-A 12.8  2.9  149   188   15 PDB  MOLECULE: SERINE PROTEASE;                                           
 144:  3mmg-A 12.8  2.9  156   217   13 PDB  MOLECULE: NUCLEAR INCLUSION PROTEIN A;                               
 145:  2pfe-A 12.5  2.9  148   186   15 PDB  MOLECULE: ALKALINE SERINE PROTEASE;                                  
 146:  5mrt-A 12.1  3.0  147   195   12 PDB  MOLECULE: LYTIC ENDOPEPTIDASE PREPROENZYME;                          
 147:  1mbm-A 11.6  3.1  136   198   12 PDB  MOLECULE: CHYMOTRYPSIN-LIKE SERINE PROTEASE;                         
 148:  1lvo-D 11.2  2.7  139   301   11 PDB  MOLECULE: REPLICASE, HYDROLASE DOMAIN;                               
 149:  2hrv-A 10.1  2.8  120   139   17 PDB  MOLECULE: 2A CYSTEINE PROTEINASE;                                    
 150:  3w95-A  9.8  2.8  123   149   17 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 151:  1svp-A  9.7  3.4  138   160   14 PDB  MOLECULE: SINDBIS VIRUS CAPSID PROTEIN;                              
 152:  5x45-B  9.6  2.8  119   137   13 PDB  MOLECULE: PROTEASE 2A;                                               
 153:  1hia-A  8.5  1.4   79    80   35 PDB  MOLECULE: KALLIKREIN;                                                
 154:  1z8r-A  8.1  3.6  122   150   14 PDB  MOLECULE: COXSACKIEVIRUS B4 POLYPROTEIN;                             
 155:  1cu1-A  7.4  3.2  144   645   17 PDB  MOLECULE: PROTEIN (PROTEASE/HELICASE NS3);                           
 156:  1kdq-B  7.0  1.8   77    95   26 PDB  MOLECULE: CHYMOTRYPSIN B, B CHAIN;                                   
 157:  2m5t-A  6.5  3.5  118   142   14 PDB  MOLECULE: HUMAN RHINOVIRUS 2A PROTEINASE;                            


Results: 20191114_JHL_1fy1
Query: s001A
Select neighbours (check boxes) for viewing as multiple structural alignment or 3D superimposition. The list of neighbours is sorted by Z-score. Similarities with a Z-score lower than 2 are spurious. Each neighbour has links to pairwise structural alignment with the query structure, and to the PDB format coordinate file where the neighbour is superimposed onto the query structure.

  Expand gaps    
Summary
    No:  Chain   Z    rmsd lali nres  %id PDB  Description
   1:  1fy1-A 45.3  0.1  225   225  100 PDB  MOLECULE: HEPARIN-BINDING PROTEIN;                                   
   2:  1b0f-A 36.6  1.1  215   218   45 PDB  MOLECULE: PROTEIN (ELASTASE);                                        
   3:  1fuj-A 35.5  1.2  215   221   46 PDB  MOLECULE: PR3;                                                       
   4:  4q7x-A 35.2  1.6  221   235   39 PDB  MOLECULE: SERINE PROTEASE 57;                                        
   5:  1bru-P 33.5  1.4  216   241   32 PDB  MOLECULE: ELASTASE;                                                  
   6:  1elt-A 33.4  1.3  212   236   35 PDB  MOLECULE: ELASTASE;                                                  
   7:  4nff-A 33.3  1.4  214   230   33 PDB  MOLECULE: KALLIKREIN-2;                                              
   8:  1ekb-B 33.3  1.7  217   235   27 PDB  MOLECULE: ENTEROPEPTIDASE;                                           
   9:  2bdb-A 33.3  1.4  216   242   30 PDB  MOLECULE: ELASTASE-1;                                                
  10:  1h4w-A 33.2  1.4  212   224   30 PDB  MOLECULE: TRYPSIN IVA;                                               
  11:  4h4f-A 33.2  1.5  216   239   28 PDB  MOLECULE: CHYMOTRYPSIN-C;                                            
  12:  1au8-A 33.1  1.5  212   225   35 PDB  MOLECULE: CATHEPSIN G;                                               
  13:  2psx-A 33.1  1.3  213   227   30 PDB  MOLECULE: KALLIKREIN-5;                                              
  14:  3rp2-A 33.1  1.4  211   224   36 PDB  MOLECULE: RAT MAST CELL PROTEASE II;                                 
  15:  1g3c-A 33.1  1.4  211   225   31 PDB  MOLECULE: BETA-TRYPSIN;                                              
  16:  5ms3-A 33.0  1.4  213   228   31 PDB  MOLECULE: KALLIKREIN-8;                                              
  17:  1an1-E 33.0  1.4  211   223   30 PDB  MOLECULE: TRYPSIN;                                                   
  18:  3w94-A 33.0  1.8  217   235   30 PDB  MOLECULE: ENTEROPEPTIDASE-1;                                         
  19:  4dgj-A 33.0  1.7  217   235   27 PDB  MOLECULE: ENTEROPEPTIDASE CATALYTIC LIGHT CHAIN;                     
  20:  1fi8-B 32.9  1.6  212   227   35 PDB  MOLECULE: NATURAL KILLER CELL PROTEASE 1;                            
  21:  1euf-A 32.9  1.5  211   224   35 PDB  MOLECULE: DUODENASE;                                                 
  22:  2zgc-A 32.8  1.5  214   231   40 PDB  MOLECULE: GRANZYME M;                                                
  23:  2zch-P 32.7  1.4  214   237   33 PDB  MOLECULE: PROSTATE-SPECIFIC ANTIGEN;                                 
  24:  1npm-A 32.7  1.2  208   223   30 PDB  MOLECULE: NEUROPSIN;                                                 
  25:  1amh-A 32.7  1.4  211   223   30 PDB  MOLECULE: ANIONIC TRYPSIN;                                           
  26:  1trn-A 32.6  1.5  212   224   30 PDB  MOLECULE: TRYPSIN;                                                   
  27:  1eq9-A 32.5  1.6  211   222   32 PDB  MOLECULE: CHYMOTRYPSIN;                                              
  28:  3tk9-A 32.3  1.6  212   226   34 PDB  MOLECULE: GRANZYME H;                                                
  29:  2rdl-A 32.3  1.6  213   226   33 PDB  MOLECULE: CHYMASE 2;                                                 
  30:  2qxg-A 32.3  1.5  212   225   33 PDB  MOLECULE: KALLIKREIN-7;                                              
  31:  1spj-A 32.3  1.5  214   236   31 PDB  MOLECULE: KALLIKREIN 1;                                              
  32:  1ym0-A 32.3  1.6  216   238   31 PDB  MOLECULE: FIBRINOTIC ENZYME COMPONENT B;                             
  33:  1ao5-A 32.3  1.4  214   236   30 PDB  MOLECULE: GLANDULAR KALLIKREIN-13;                                   
  34:  4bnr-A 32.3  1.7  214   237   29 PDB  MOLECULE: HEPATOPANCREAS TRYPSIN;                                    
  35:  1sgf-G 32.1  1.5  214   232   31 PDB  MOLECULE: NERVE GROWTH FACTOR;                                       
  36:  1bit-A 32.1  1.6  208   222   31 PDB  MOLECULE: TRYPSIN;                                                   
  37:  1fq3-A 32.0  1.7  213   227   34 PDB  MOLECULE: GRANZYME B;                                                
  38:  1azz-A 32.0  1.7  212   226   33 PDB  MOLECULE: COLLAGENASE;                                               
  39:  1a0j-A 31.9  1.6  211   223   31 PDB  MOLECULE: TRYPSIN;                                                   
  40:  5fcr-A 31.8  1.7  216   230   34 PDB  MOLECULE: COMPLEMENT FACTOR D;                                       
  41:  3fzz-A 31.8  1.6  211   227   36 PDB  MOLECULE: GRANZYME C;                                                
  42:  3e0n-B 31.8  1.7  217   254   29 PDB  MOLECULE: PROSTASIN;                                                 
  43:  1op8-A 31.7  1.8  216   234   38 PDB  MOLECULE: GRANZYME A;                                                
  44:  3f6u-H 31.7  1.6  212   241   31 PDB  MOLECULE: VITAMIN K-DEPENDENT PROTEIN C HEAVY CHAIN;                 
  45:  1yc0-A 31.6  1.7  215   247   35 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR ACTIVATOR;                        
  46:  1bqy-A 31.5  1.8  214   235   25 PDB  MOLECULE: PLASMINOGEN ACTIVATOR;                                     
  47:  1fiw-A 31.5  1.7  217   260   26 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
  48:  2oq5-A 31.5  1.6  211   232   28 PDB  MOLECULE: TRANSMEMBRANE PROTEASE, SERINE 11E;                        
  49:  2vnt-B 31.5  1.7  218   258   25 PDB  MOLECULE: UROKINASE-TYPE PLASMINOGEN ACTIVATOR;                      
  50:  1cvw-H 31.4  1.8  220   255   26 PDB  MOLECULE: COAGULATION FACTOR VIIA (LIGHT CHAIN) (DES-GLA);           
  51:  3s69-A 31.4  1.8  214   234   26 PDB  MOLECULE: THROMBIN-LIKE ENZYME DEFIBRASE;                            
  52:  1m9u-A 31.4  1.7  214   241   29 PDB  MOLECULE: EARTHWORM FIBRINOLYTIC ENZYME;                             
  53:  1op0-A 31.4  1.8  214   234   27 PDB  MOLECULE: VENOM SERINE PROTEINASE;                                   
  54:  1fiz-A 31.4  1.7  217   263   27 PDB  MOLECULE: BETA-ACROSIN HEAVY CHAIN;                                  
  55:  1cgi-E 31.4  1.4  211   245   29 PDB  MOLECULE: ALPHA-CHYMOTRYPSINOGEN;                                    
  56:  5jb8-S 31.4  1.8  215   236   26 PDB  MOLECULE: COAGULATION FACTOR IX;                                     
  57:  2pux-B 31.3  1.9  220   258   28 PDB  MOLECULE: THROMBIN LIGHT CHAIN;                                      
  58:  2eek-A 31.3  1.6  206   220   30 PDB  MOLECULE: TRYPSIN-1;                                                 
  59:  5to3-B 31.3  1.9  221   368   26 PDB  MOLECULE: PROTHROMBIN;                                               
  60:  1z8g-A 31.2  1.6  219   366   30 PDB  MOLECULE: SERINE PROTEASE HEPSIN;                                    
  61:  3sbk-A 31.1  1.9  212   235   27 PDB  MOLECULE: VIPERA RUSSELLI PROTEINASE RVV-V GAMMA;                    
  62:  5gvt-A 31.0  2.0  212   236   28 PDB  MOLECULE: PLASMA KALLIKREIN;                                         
  63:  1ton-A 30.9  1.8  212   227   31 PDB  MOLECULE: TONIN;                                                     
  64:  4cre-A 30.9  2.1  214   238   25 PDB  MOLECULE: COAGULATION FACTOR XI;                                     
  65:  4e7n-A 30.8  1.8  213   238   27 PDB  MOLECULE: SNAKE-VENOM THROMBIN-LIKE ENZYME;                          
  66:  1fxy-A 30.7  2.1  212   229   26 PDB  MOLECULE: COAGULATION FACTOR XA-TRYPSIN CHIMERA;                     
  67:  1kig-H 30.5  1.9  217   241   26 PDB  MOLECULE: FACTOR XA;                                                 
  68:  1pq5-A 30.4  1.7  209   225   30 PDB  MOLECULE: TRYPSIN;                                                   
  69:  2aip-A 30.2  1.8  211   231   27 PDB  MOLECULE: PROTEIN C ACTIVATOR;                                       
  70:  6qf7-B 30.2  1.9  216   245   34 PDB  MOLECULE: MALTODEXTRIN-BINDING PROTEIN;                              
  71:  1bda-A 29.9  1.7  216   266   30 PDB  MOLECULE: SINGLE CHAIN TISSUE TYPE PLASMINOGEN ACTIVATOR;            
  72:  1pfx-C 29.9  1.8  213   236   28 PDB  MOLECULE: FACTOR IXA;                                                
  73:  1shy-A 29.7  2.0  210   228   30 PDB  MOLECULE: HEPATOCYTE GROWTH FACTOR;                                  
  74:  5wi6-B 29.7  1.8  210   245   33 PDB  MOLECULE: TRYPTASE ALPHA/BETA-1;                                     
  75:  5dj7-A 29.7  2.0  212   230   26 PDB  MOLECULE: TRYPSIN;                                                   
  76:  1c5m-D 29.6  1.8  212   241   24 PDB  MOLECULE: PROTEIN (COAGULATION FACTOR X);                            
  77:  1a5i-A 29.6  1.8  215   266   31 PDB  MOLECULE: PLASMINOGEN ACTIVATOR;                                     
  78:  1lto-A 29.3  1.9  210   243   32 PDB  MOLECULE: ALPHA TRYPTASE I;                                          
  79:  1mza-A 29.0  2.1  216   240   36 PDB  MOLECULE: PRO-GRANZYME K;                                            
  80:  1pyt-D 28.9  1.8  212   251   28 PDB  MOLECULE: PROCARBOXYPEPTIDASE A;                                     
  81:  3h7t-A 28.9  2.3  216   235   24 PDB  MOLECULE: GROUP 3 ALLERGEN SMIPP-S YVT004A06;                        
  82:  4bxw-B 28.8  1.7  208   288   24 PDB  MOLECULE: FACTOR XA;                                                 
  83:  1pyt-C 28.8  1.7  210   248   31 PDB  MOLECULE: PROCARBOXYPEPTIDASE A;                                     
  84:  2qy0-D 28.7  2.0  209   237   29 PDB  MOLECULE: COMPLEMENT C1R SUBCOMPONENT;                               
  85:  4niy-D 28.6  1.1  186   195   30 PDB  MOLECULE: CATIONIC TRYPSIN;                                          
  86:  1gvz-A 28.2  1.9  209   237   29 PDB  MOLECULE: KALLIKREIN-1E2;                                            
  87:  1hyl-A 28.2  1.9  203   230   27 PDB  MOLECULE: HYPODERMA LINEATUM COLLAGENASE;                            
  88:  3i77-A 27.7  2.1  206   230   28 PDB  MOLECULE: TRYPSIN;                                                   
  89:  6i44-A 27.7  2.0  213   596   29 PDB  MOLECULE: PLASMA KALLIKREIN;                                         
  90:  5lyo-C 27.5  1.7  207   255   27 PDB  MOLECULE: SUPPRESSOR OF TUMORIGENICITY 14 PROTEIN;                   
  91:  1zjk-A 26.8  2.1  207   389   24 PDB  MOLECULE: MANNAN-BINDING LECTIN SERINE PROTEASE 2;                   
  92:  4kkd-B 26.7  1.9  210   405   27 PDB  MOLECULE: MANNAN-BINDING LECTIN SERINE PROTEASE 1;                   
  93:  4igd-A 26.7  2.1  207   397   24 PDB  MOLECULE: MANNAN-BINDING LECTIN SERINE PROTEASE 1;                   
  94:  1mkw-K 26.2  2.3  215   287   27 PDB  MOLECULE: ALPHA-THROMBIN;                                            
  95:  4a5t-S 26.0  2.5  204   767   32 PDB  MOLECULE: PLASMINOGEN;                                               
  96:  1fdp-B 25.9  1.6  184   198   35 PDB  MOLECULE: PROENZYME OF COMPLEMENT FACTOR D;                          
  97:  3h7o-A 25.9  2.0  203   228   25 PDB  MOLECULE: GROUP 3 ALLERGEN SMIPP-S YV6023A04;                        
  98:  2olg-A 25.5  2.1  206   276   29 PDB  MOLECULE: PRO-PHENOLOXIDASE ACTIVATING ENZYME-I;                     
  99:  3k65-B 25.5  2.1  201   274   25 PDB  MOLECULE: PROTHROMBIN;                                               
 100:  5lpe-A 25.4  2.0  191   204   29 PDB  MOLECULE: KALLIKREIN-10;                                             
 101:  4lk4-A 25.4  1.8  201   326   28 PDB  MOLECULE: VESB PROTEASE;                                             
 102:  4duu-A 25.4  2.0  202   682   31 PDB  MOLECULE: PLASMINOGEN;                                               
 103:  5i25-A 25.2  2.3  200   596   25 PDB  MOLECULE: COAGULATION FACTOR XI;                                     
 104:  2xxl-A 25.0  2.3  206   354   26 PDB  MOLECULE: GRAM-POSITIVE SPECIFIC SERINE PROTEASE, ISOFORM B          
 105:  5edm-A 24.9  2.6  220   550   23 PDB  MOLECULE: PROTHROMBIN;                                               
 106:  3t2n-A 24.8  1.8  192   339   29 PDB  MOLECULE: SERINE PROTEASE HEPSIN;                                    
 107:  1gpz-A 24.8  1.9  194   368   29 PDB  MOLECULE: COMPLEMENT C1R COMPONENT;                                  
 108:  4j1y-A 24.6  2.3  204   378   25 PDB  MOLECULE: COMPLEMENT C1S SUBCOMPONENT;                               
 109:  4wjg-2 24.6  2.1  200   310   23 PDB  MOLECULE: HEMOGLOBIN SUBUNIT ALPHA;                                  
 110:  1gvl-A 24.3  2.5  194   223   29 PDB  MOLECULE: KALLIKREIN 6;                                              
 111:  4dw2-U 24.1  2.3  199   221   25 PDB  MOLECULE: UROKINASE-TYPE PLASMINOGEN ACTIVATOR;                      
 112:  4f4o-C 23.0  2.2  202   309   22 PDB  MOLECULE: HEMOGLOBIN SUBUNIT ALPHA;                                  
 113:  1sgf-A 22.4  2.1  180   203   30 PDB  MOLECULE: NERVE GROWTH FACTOR;                                       
 114:  3h5c-B 22.4  2.3  197   312   20 PDB  MOLECULE: PROTEIN Z-DEPENDENT PROTEASE INHIBITOR;                    
 115:  2b9l-A 22.0  2.5  204   372   27 PDB  MOLECULE: PROPHENOLOXIDASE ACTIVATING FACTOR;                        
 116:  6bqm-A 21.9  2.3  199   460   23 PDB  MOLECULE: SERINE PROTEASE VESC;                                      
 117:  2xrc-B 21.8  2.1  179   485   23 PDB  MOLECULE: HUMAN COMPLEMENT FACTOR I;                                 
 118:  1qy6-A 21.8  2.2  189   216   11 PDB  MOLECULE: SERINE PROTEASE;                                           
 119:  1p3c-A 21.6  2.6  193   215   17 PDB  MOLECULE: GLUTAMYL-ENDOPEPTIDASE;                                    
 120:  4ink-A 21.5  2.1  181   203   11 PDB  MOLECULE: SERINE PROTEASE SPLD;                                      
 121:  2w7u-B 21.2  2.4  181   200   10 PDB  MOLECULE: SERINE PROTEASE SPLA;                                      
 122:  2xwb-F 21.1  2.5  193   714   21 PDB  MOLECULE: COMPLEMENT C3B BETA CHAIN;                                 
 123:  4bxs-A 21.0  1.8  171   248   21 PDB  MOLECULE: FACTOR X-LIKE PROTEASE;                                    
 124:  2i6q-A 20.6  2.7  193   503   22 PDB  MOLECULE: COMPLEMENT C2A FRAGMENT;                                   
 125:  2as9-A 20.3  2.3  179   207   13 PDB  MOLECULE: SERINE PROTEASE;                                           
 126:  2xrc-A 20.3  1.8  161   461   23 PDB  MOLECULE: HUMAN COMPLEMENT FACTOR I;                                 
 127:  2xrc-D 19.8  2.1  171   464   22 PDB  MOLECULE: HUMAN COMPLEMENT FACTOR I;                                 
 128:  3wy8-A 19.6  2.8  194   219   11 PDB  MOLECULE: SERINE PROTEASE;                                           
 129:  1agj-A 19.6  2.5  186   242   12 PDB  MOLECULE: EPIDERMOLYTIC TOXIN A;                                     
 130:  5c2z-A 19.2  2.7  191   248   16 PDB  MOLECULE: EXFOLIATIVE TOXIN D2;                                      
 131:  1qtf-A 18.8  2.7  186   246   11 PDB  MOLECULE: EXFOLIATIVE TOXIN B;                                       
 132:  3cp7-A 18.7  2.7  189   216   11 PDB  MOLECULE: ALKALINE SERINE PROTEASE AL20;                             
 133:  3otp-A 18.2  2.7  172   381   19 PDB  MOLECULE: PROTEASE DO;                                               
 134:  3stj-A 18.1  2.6  172   300   17 PDB  MOLECULE: PROTEASE DEGQ;                                             
 135:  6bjr-A 17.9  2.7  218   575   22 PDB  MOLECULE: PROTHROMBIN;                                               
 136:  4ynn-A 17.7  2.7  172   400   17 PDB  MOLECULE: PROTEASE DO;                                               
 137:  3nzi-A 17.7  2.7  170   211   16 PDB  MOLECULE: SERINE PROTEASE HTRA1;                                     
 138:  1arc-A 17.6  3.2  192   264   15 PDB  MOLECULE: ACHROMOBACTER PROTEASE I;                                  
 139:  4nsy-B 17.5  3.2  191   266   16 PDB  MOLECULE: LYSYL ENDOPEPTIDASE;                                       
 140:  3qo6-B 17.5  2.6  176   328   15 PDB  MOLECULE: PROTEASE DO-LIKE 1, CHLOROPLASTIC;                         
 141:  2xrc-C 17.4  1.6  157   454   23 PDB  MOLECULE: HUMAN COMPLEMENT FACTOR I;                                 
 142:  1zyo-A 17.4  2.8  173   184   10 PDB  MOLECULE: SERINE PROTEASE;                                           
 143:  3ak5-A 17.0  2.9  182   970   16 PDB  MOLECULE: HEMOGLOBIN-BINDING PROTEASE HBP;                           
 144:  3pv3-A 17.0  2.6  168   392   18 PDB  MOLECULE: DEGQ;                                                      
 145:  5il9-A 16.9  2.8  174   465   14 PDB  MOLECULE: PROTEASE DO-LIKE 9;                                        
 146:  2z9i-A 16.9  2.7  169   284   17 PDB  MOLECULE: PROBABLE SERINE PROTEASE PEPD;                             
 147:  3nwu-B 16.8  2.6  158   183   16 PDB  MOLECULE: SERINE PROTEASE HTRA1;                                     
 148:  3k6y-A 16.8  2.8  173   227   17 PDB  MOLECULE: POSSIBLE MEMBRANE-ASSOCIATED SERINE PROTEASE;              
 149:  3lgu-A 16.5  2.6  161   191   17 PDB  MOLECULE: PROTEASE DEGS;                                             
 150:  1ezx-C 16.4  1.7  128   140   31 PDB  MOLECULE: ALPHA-1-ANTITRYPSIN;                                       
 151:  4fln-B 16.3  3.0  169   464   13 PDB  MOLECULE: PROTEASE DO-LIKE 2, CHLOROPLASTIC;                         
 152:  3sti-A 15.9  2.7  160   184   18 PDB  MOLECULE: PROTEASE DEGQ;                                             
 153:  3h09-B 15.8  3.2  197   964   17 PDB  MOLECULE: IMMUNOGLOBULIN A1 PROTEASE;                                
 154:  2w5e-A 15.8  2.5  153   162   10 PDB  MOLECULE: PUTATIVE SERINE PROTEASE;                                  
 155:  1soz-C 15.8  2.8  169   257   17 PDB  MOLECULE: PROTEASE DEGS;                                             
 156:  3syj-A 15.5  3.1  186   920   16 PDB  MOLECULE: ADHESION AND PENETRATION PROTEIN AUTOTRANSPORTER;          
 157:  4ic5-A 15.4  3.1  167   210   16 PDB  MOLECULE: PROTEASE DO-LIKE 5, CHLOROPLASTIC;                         
 158:  4om9-A 15.2  2.7  175   930   13 PDB  MOLECULE: SERINE PROTEASE PET;                                       
 159:  1l1j-A 15.2  2.8  163   226   14 PDB  MOLECULE: HEAT SHOCK PROTEASE HTRA;                                  
 160:  2kai-B 15.1  1.5  136   152   33 PDB  MOLECULE: KALLIKREIN A;                                              
 161:  3wom-A 15.1  3.1  193   699   14 PDB  MOLECULE: DIPEPTIDYL AMINOPEPTIDASE BII;                             
 162:  1te0-A 15.1  2.9  167   318   17 PDB  MOLECULE: PROTEASE DEGS;                                             
 163:  2j92-A 14.9  3.0  165   201   13 PDB  MOLECULE: PICORNAIN 3C;                                              
 164:  4ic6-A 14.8  2.9  168   340   16 PDB  MOLECULE: PROTEASE DO-LIKE 8, CHLOROPLASTIC;                         
 165:  3gdv-A 14.5  2.8  169   296   17 PDB  MOLECULE: DEGS PROTEASE;                                             
 166:  1wxr-A 14.3  2.9  184  1035   16 PDB  MOLECULE: HAEMOGLOBIN PROTEASE;                                      
 167:  1qa7-B 14.2  2.7  165   218    9 PDB  MOLECULE: HAV 3C PROTEINASE;                                         
 168:  5jwg-A 14.2  3.1  192   705   14 PDB  MOLECULE: ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE;                     
 169:  1kdq-A 14.1  1.5  124   130   32 PDB  MOLECULE: CHYMOTRYPSIN B, B CHAIN;                                   
 170:  1ky9-B 13.2  3.2  172   396   18 PDB  MOLECULE: PROTEASE DO;                                               
 171:  3sze-A 13.2  3.4  177   943   14 PDB  MOLECULE: SERINE PROTEASE ESPP;                                      
 172:  2qaa-A 13.1  2.7  151   186   17 PDB  MOLECULE: STREPTOGRISIN-B;                                           
 173:  3mmg-A 13.1  3.3  165   217   13 PDB  MOLECULE: NUCLEAR INCLUSION PROTEIN A;                               
 174:  2xya-A 13.0  2.8  151   182   16 PDB  MOLECULE: PICORNAIN 3C;                                              
 175:  3ruo-A 13.0  2.9  154   184   13 PDB  MOLECULE: HEVB EV93 3C PROTEASE;                                     
 176:  2ijd-1 13.0  2.9  152   644   13 PDB  MOLECULE: PICORNAIN 3C, RNA-DIRECTED RNA POLYMERASE;                 
 177:  3zv8-A 12.8  3.0  154   188    9 PDB  MOLECULE: 3C PROTEASE;                                               
 178:  2sfa-A 12.8  2.8  152   191   18 PDB  MOLECULE: SERINE PROTEINASE;                                         
 179:  2ea3-A 12.8  2.7  149   183   16 PDB  MOLECULE: CHYMOTRYPSIN;                                              
 180:  1lvm-A 12.7  3.4  161   229   16 PDB  MOLECULE: CATALYTIC DOMAIN OF THE NUCLEAR INCLUSION                  
 181:  2oua-A 12.6  2.6  147   188   16 PDB  MOLECULE: SERINE PROTEASE;                                           
 182:  1p01-A 12.5  2.8  149   199   14 PDB  MOLECULE: ALPHA-LYTIC PROTEASE;                                      
 183:  1hpg-A 12.3  2.8  150   187   17 PDB  MOLECULE: GLUTAMIC ACID SPECIFIC PROTEASE;                           
 184:  2pfe-A 12.1  2.9  146   186   17 PDB  MOLECULE: ALKALINE SERINE PROTEASE;                                  
 185:  2lnc-A 11.9  3.3  152   188   13 PDB  MOLECULE: 3C-LIKE PROTEASE;                                          
 186:  1rgq-B 11.9  3.1  145   186   14 PDB  MOLECULE: NS3 PROTEASE;                                              
 187:  3osy-A 11.9  2.7  148   187   14 PDB  MOLECULE: 3C PROTEASE;                                               
 188:  2in2-A 11.4  3.1  151   182   14 PDB  MOLECULE: PICORNAIN 3C;                                              
 189:  1mbm-A 11.3  2.7  134   198   15 PDB  MOLECULE: CHYMOTRYPSIN-LIKE SERINE PROTEASE;                         
 190:  2q6d-B 11.1  2.9  141   307   11 PDB  MOLECULE: INFECTIOUS BRONCHITIS VIRUS (IBV) MAIN PROTEASE;           
 191:  1lvo-D 11.0  2.8  138   301   10 PDB  MOLECULE: REPLICASE, HYDROLASE DOMAIN;                               
 192:  3d23-B 10.9  2.8  139   301   14 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 193:  2zu2-B 10.8  2.8  140   301    9 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 194:  2yy4-A 10.7  2.8  137   310   13 PDB  MOLECULE: REPLICASE POLYPROTEIN 1AB;                                 
 195:  2yna-A 10.6  3.0  145   306   14 PDB  MOLECULE: 3C-LIKE PROTEINASE;                                        
 196:  3u1i-B 10.3  2.5  131   168   12 PDB  MOLECULE: SERINE PROTEASE SUBUNIT NS2B;                              
 197:  1svp-A 10.0  3.3  138   160   14 PDB  MOLECULE: SINDBIS VIRUS CAPSID PROTEIN;                              
 198:  2wv9-A  9.8  3.1  138   600   11 PDB  MOLECULE: FLAVIVIRIN PROTEASE NS2B REGULATORY SUBUNIT, FLAV          
 199:  2hrv-A  9.7  3.0  120   139   16 PDB  MOLECULE: 2A CYSTEINE PROTEINASE;                                    
 200:  4m9m-A  9.6  3.1  138   202   16 PDB  MOLECULE: NS2B-NS3 PROTEASE;                                         
 201:  3lkw-A  9.6  2.8  135   211   15 PDB  MOLECULE: FUSION PROTEIN OF NONSTRUCTURAL PROTEIN 2B AND             
 202:  3w95-A  9.2  3.0  126   149   16 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 203:  2yol-A  9.0  2.8  135   213    9 PDB  MOLECULE: SERINE PROTEASE SUBUNIT NS2B, SERINE PROTEASE NS3          
 204:  3j0c-C  8.8  3.2  132   162   10 PDB  MOLECULE: E1 ENVELOPE GLYCOPROTEIN;                                  
 205:  1z8r-A  8.2  3.2  117   150   12 PDB  MOLECULE: COXSACKIEVIRUS B4 POLYPROTEIN;                             
 206:  5lak-A  8.2  3.3  140   303   11 PDB  MOLECULE: 3CL PROTEASE;                                              
 207:  5t1v-B  7.8  2.8  123   163   11 PDB  MOLECULE: NS2B-NS3 PROTEASE,NS2B-NS3 PROTEASE;                       
 208:  1hia-A  7.7  1.2   79    80   30 PDB  MOLECULE: KALLIKREIN;                                                
 209:  5lkl-A  7.7  3.6  130   704   14 PDB  MOLECULE: GENOME POLYPROTEIN;                                        
 210:  1cu1-A  7.5  3.3  150   645   15 PDB  MOLECULE: PROTEIN (PROTEASE/HELICASE NS3);                           
